Decade, Number of deaths,0.30,1.00,,,,,,,,,,
1844–1849, 5,,0.30,1.00,,,,,,,,,,0.63
1850–1859, 48,,0.65,4.00,,,,,,,,,,2.75
1860–1869, 61,,0.  45 4.2,5.4,0,,,,,,,,,
1870–1879, 112,,,0.59,4.67,,,,,,,,,3.93
1880–1889,80,,0.30,5.67,,,,,,,,,,4.81
1890–1899, 483,,,1.  40,3.44,,3.0,,,,,,,3
1900–1909, 535,,,1.33,2.17,,,,,,,,,1.99
1910–1919, 827,,,1.69,2.14,,,,,,,,,2.06
1920–1929, 616,,,1.04,1.50,,,,,,,,,1.45
1930–1939, 803,,,1.19,1.65,,,,,,,,,1.60
1940–1949, 384,,,0.52,1.25,,3,,,,,,,1. 2
1950–1959, 285,,,0.31,1.19,,,,,,,,,1.17
1960–1969, 276,,.2 4,1.06,,,,,,,,,,1.04
1970–1979, 164,,,0.12,0.50,,,,,,,,,0.50
1980 –1989,56, 1.55,,0.04,1.55,,,,,,,,,
1990–1999,65,,0.04,0.75,,,,,,,,,,0.76
2000–2010, 532,,,0.26,1.08,,,,,,,,,1.10
Total, 5332,,,,,,,,,,,,,
